4K频道,#genre#
咪咕4k,http://10.0.0.26:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
咪咕4k,http://10.0.0.26:35455/itv/2000000003000000063.m3u8?cdn=hnbblive
咪咕4k,http://10.0.0.26:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
咪咕4k,http://10.0.0.26:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
咪咕4k,http://10.0.0.26:35455/itv/1000000006000270001.m3u8?cdn=ystenlive
咪咕4k,http://10.0.0.26:35455/itv/1000000006000270002.m3u8?cdn=ystenlive
咪咕4k,http://10.0.0.26:35455/itv/1000000006000270003.m3u8?cdn=ystenlive
咪咕4k,http://10.0.0.26:35455/itv/1000000006000270004.m3u8?cdn=ystenlive
咪咕4k,http://10.0.0.26:35455/itv/1000000006000270005.m3u8?cdn=ystenlive
咪咕4k,http://10.0.0.26:35455/itv/1000000006000270006.m3u8?cdn=ystenlive


江苏荔枝,#genre#

江苏卫视,http://10.0.0.26/jslizhi.php?id=jsws
江苏城市,http://10.0.0.26/jslizhi.php?id=jscs
江苏综艺,http://10.0.0.26/jslizhi.php?id=jszy
江苏影视,http://10.0.0.26/jslizhi.php?id=jsys
江苏新闻,http://10.0.0.26/jslizhi.php?id=jsxw
江苏教育,http://10.0.0.26/jslizhi.php?id=jsjy
江苏体育休闲,http://10.0.0.26/jslizhi.php?id=jsty
江苏国际,http://10.0.0.26/jslizhi.php?id=jsgj
优漫卡通,http://10.0.0.26/jslizhi.php?id=ymkt
南京新闻综合,http://10.0.0.26/jslizhi.php?id=nj1
六合新闻综合,http://10.0.0.26/jslizhi.php?id=njlh
无锡新闻综合,http://10.0.0.26/jslizhi.php?id=wx1
江阴新闻综合,http://10.0.0.26/jslizhi.php?id=wxjy
徐州新闻综合,http://10.0.0.26/jslizhi.php?id=xz1
邳州综合,http://10.0.0.26/jslizhi.php?id=xzpz
新沂新闻综合,http://10.0.0.26/jslizhi.php?id=xzxy
贾汪新闻综合,http://10.0.0.26/jslizhi.php?id=xzjw
铜山新闻综合,http://10.0.0.26/jslizhi.php?id=xzts
常州新闻,http://10.0.0.26/jslizhi.php?id=cz1
武进综合,http://10.0.0.26/jslizhi.php?id=czwj
